shop_name,biko,address,homepage_address,google_map_url
北の味処 鰣不知（ときしらず）,営業時間　17:30〜23:00定休日　火曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前４１−２,,https://maps.google.com/?cid=16836224279899846432
Bobbers,営業時間　17:30〜23:00テイクアウトラストオーダー　21:00,〒022-0002 岩手県大船渡市大船渡町茶屋前４５−１,https://ofunato.jp/Summary/info/382,https://maps.google.com/?cid=7157196453502894842
西苑飯店,営業時間　11:30〜14:30、17:00〜21:00定休日　木曜日,〒022-0002 岩手県大船渡市大船渡町野々田１２−３,,https://maps.google.com/?cid=3385969328783778780
居酒屋 成功丸,営業時間　17：30〜24：00定休日　水曜日,〒022-0002 岩手県大船渡市大船渡町茶屋前５１−８,,https://maps.google.com/?cid=14325101961369049999
くいもんや わい,受付時間　11:00〜17:00定休日　火曜日,〒022-0002 岩手県大船渡市大船渡町野々田１８−１０,https://hitosara.com/0006093202/,https://maps.google.com/?cid=14801465431635679154
Cafe de Curry KOJIKA,定休日　毎週月曜日,〒022-0002 岩手県大船渡市大船渡町野々田２３−１,https://www.instagram.com/cafedecurrykojika/,https://maps.google.com/?cid=17085444396474304290
Another World Bar KEIJI,テイクアウト可能時間　19:00〜23:00定休日　火曜日,,,
スナックリカ,予約時間　当日13:00まで予約電話番号090-9633-2103,野々田-３６-1-4 大船渡町 大船渡市 岩手県 022-0002,,https://maps.google.com/?cid=13437415729761200082
夕凪,日本酒のテイクアウトを中心とした営業です。対応可能時間　基本的なお引き渡し時間は15時頃から19時頃です。時間外も個別でご連絡頂ければ対応します。0192-22-7277080-3399-2506,〒022-0002 岩手県大船渡市大船渡町野々田１５−１３,,https://maps.google.com/?cid=9183853082480602124
Arrow.s,■お食事・雑貨販売・リラクゼーションのお店■営業時間11:30～14:30(L.O.14:30)18:00～翌3:00(L.O.翌2:00)■定休日　不定休■Facebook：https://www.facebook.com/zakka.relaxation.kuttarinondari/,〒022-0003 岩手県大船渡市盛町権現堂１−１,,https://maps.google.com/?cid=15583878038181909521
ユキ・グランパ,■カフェ■営業時間：11:00～22:00※日曜日11:00~21:00■定休日：火曜日■電話：0192-47-4850http://yuki-grandpa.sanrikudenshi.org/,〒022-0003 岩手県大船渡市盛町舘下 盛町舘下２番２６,http://yuki-grandpa.sanrikudenshi.org/,https://maps.google.com/?cid=7021601085876328432
百樹屋,■お食事処■営業時間：昼11:30～14:00夜17:00～21:00■定休日：不定休■電話番号：0192-26-5123,〒022-0003 岩手県大船渡市盛町内ノ目２−１４,,https://maps.google.com/?cid=7340605583441175406
EAST ASIA,■アジアン雑貨販売・カレーのお店■営業時間：11:30〜18:00■定休日：水曜日■電話番号：0192-27-5205,〒022-0003 岩手県大船渡市盛町内ノ目１２−４,,https://maps.google.com/?cid=806763139461569465
自家焙煎珈琲店 よしの珈琲,■カフェ※現在ドリンクのテイクアウト、珈琲豆販売のみ■営業時間：11:30~18:00■定休日：毎週木曜日、第3水曜日■電話番号： 0192-26-2664■Facebook：https://www.facebook.com/%E3%82%88%E3%81%97%E3%81%AE%E7%8F%88%E7%90%B2-335492023194635/,〒022-0003 岩手県大船渡市盛町内ノ目３−３２,http://yoshino-coffee.ocnk.net/,https://maps.google.com/?cid=17271438923847705765
栄寿司,■お寿司■営業時間：10:00~19:00■定休日：■電話番号：0192-26-3541,〒022-0003 岩手県大船渡市盛町木町６−１８,,https://maps.google.com/?cid=11513409910253211915
